timestamp,violations,snapshot
2026-05-02 11:31:48.713,3,violations\snap_20260502_113148.jpg
2026-05-02 11:31:50.791,1,violations\snap_20260502_113150.jpg
2026-05-02 11:32:03.749,1,violations\snap_20260502_113203.jpg
2026-05-02 11:32:05.803,1,violations\snap_20260502_113205.jpg
2026-05-02 11:32:07.865,1,violations\snap_20260502_113207.jpg
2026-05-02 11:32:09.946,2,violations\snap_20260502_113209.jpg
2026-05-02 11:32:11.975,1,violations\snap_20260502_113211.jpg
2026-05-02 14:36:59.021,2,violations\snap_20260502_143659.jpg
2026-05-02 14:37:01.249,1,violations\snap_20260502_143701.jpg
2026-05-02 14:37:03.357,2,violations\snap_20260502_143703.jpg
2026-05-02 14:37:05.420,1,violations\snap_20260502_143705.jpg
2026-05-02 14:37:07.744,2,violations\snap_20260502_143707.jpg
2026-05-02 14:37:09.884,1,violations\snap_20260502_143709.jpg
2026-05-02 14:37:12.006,3,violations\snap_20260502_143712.jpg
2026-05-02 14:37:14.075,1,violations\snap_20260502_143714.jpg
2026-05-02 14:37:26.015,1,violations\snap_20260502_143726.jpg
2026-05-02 14:37:30.522,1,violations\snap_20260502_143730.jpg
2026-05-02 14:37:32.649,1,violations\snap_20260502_143732.jpg
2026-05-02 14:37:34.669,1,violations\snap_20260502_143734.jpg
2026-05-02 14:37:36.709,1,violations\snap_20260502_143736.jpg
2026-05-02 14:37:38.803,1,violations\snap_20260502_143738.jpg
2026-05-09 09:05:19.077,2,violations\snap_20260509_090519.jpg
2026-05-09 09:05:21.345,1,violations\snap_20260509_090521.jpg
2026-05-09 09:05:23.577,1,violations\snap_20260509_090523.jpg
2026-05-09 09:05:25.590,2,violations\snap_20260509_090525.jpg
2026-05-09 09:05:27.731,2,violations\snap_20260509_090527.jpg
2026-05-09 09:05:29.885,2,violations\snap_20260509_090529.jpg
2026-05-09 09:05:32.091,1,violations\snap_20260509_090532.jpg
2026-05-09 09:05:34.128,1,violations\snap_20260509_090534.jpg
2026-05-09 09:05:36.247,2,violations\snap_20260509_090536.jpg
2026-05-09 09:05:38.455,1,violations\snap_20260509_090538.jpg
2026-05-09 09:05:40.632,3,violations\snap_20260509_090540.jpg
2026-05-09 09:05:42.647,3,violations\snap_20260509_090542.jpg
2026-05-09 09:05:44.751,3,violations\snap_20260509_090544.jpg
2026-05-09 09:05:47.027,1,violations\snap_20260509_090547.jpg
2026-05-09 09:05:49.210,1,violations\snap_20260509_090549.jpg
2026-05-09 09:05:51.240,1,violations\snap_20260509_090551.jpg
2026-05-09 09:06:14.034,1,violations\snap_20260509_090614.jpg
2026-05-09 09:06:16.237,1,violations\snap_20260509_090616.jpg
2026-05-09 09:06:18.263,1,violations\snap_20260509_090618.jpg
2026-05-09 09:06:20.314,1,violations\snap_20260509_090620.jpg
